,To_Country,Year,Total_Points,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Latvia,Lithuania,Luxembourg,Malta,"Moldova, Republic of",Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
375,Denmark,2008,60,,,NaN,NaN,,,,,,,,2,,3,,,,,,2,12,1,,NaN,NaN,7,2,NaN,4,,NaN,,,,12,,5,,,2,,NaN,,,5,,,,3
376,Spain,2008,55,1,1,NaN,NaN,,,4,,,,4,,1,,1,5,,,8,,,,,NaN,NaN,,,NaN,,,NaN,,,,,,10,,,,,NaN,,,,4,3,,1
377,Albania,2008,55,,,NaN,NaN,1,,,1,,8,,,,,,,,,10,,,,,NaN,NaN,,,NaN,,,NaN,7,,12,,,,,,3,,NaN,4,,,8,1,,
378,Sweden,2008,47,3,,NaN,NaN,,,,,,,1,,8,2,5,,,,,1,3,,1,NaN,NaN,,1,NaN,12,,NaN,,,,7,,,,,,2,NaN,,1,,,,,
379,France,2008,47,,4,NaN,NaN,,,,,,,,,5,6,2,,,,,,8,,,NaN,NaN,3,8,NaN,,,NaN,,,,1,1,,,,,,NaN,,,4,,,,2
380,Romania,2008,45,,,NaN,NaN,,,,,,,3,,,,,4,,,,,,3,6,NaN,NaN,,,NaN,,12,NaN,,,,,,4,,,1,,NaN,,12,,,,,
381,Croatia,2008,44,,2,NaN,NaN,,,,10,,,,,,,,,1,2,,,,,,NaN,NaN,5,,NaN,,,NaN,2,,2,,,3,1,1,,3,NaN,8,,,3,,1,
382,Finland,2008,35,,,NaN,NaN,,,,,,,,,,10,,,,,,,7,,,NaN,NaN,1,,NaN,,,NaN,,,,4,2,,,,,,NaN,,,7,,,,
383,Germany,2008,14,,,NaN,NaN,,,,,12,,,,,,,,,,,,,,,NaN,NaN,,,NaN,,,NaN,,,,,,,,,,,NaN,,,,2,,,
384,Poland,2008,14,,,NaN,NaN,,,,,,,,,,,,,,,,,,10,,NaN,NaN,,,NaN,,,NaN,,,,,,,,,,,NaN,,,,,,,4
385,United Kingdom,2008,14,,,NaN,NaN,,,,,,,,,,,,,,,,,,8,,NaN,NaN,,,NaN,,,NaN,,,,,,,,,6,,NaN,,,,,,,
386,Serbia,2007,268,1,7,NaN,12,NaN,7,7,12,6,12,3,8,6,,12,8,6,8,4,12,7,4,3,NaN,NaN,3,,NaN,8,5,NaN,12,8,12,10,8,5,6,5,NaN,,NaN,12,1,10,12,,6,
387,Ukraine,2007,235,,6,NaN,4,NaN,10,1,5,3,5,4,12,3,8,6,4,10,5,7,3,6,8,10,NaN,NaN,12,8,NaN,3,7,NaN,2,1,2,2,12,12,4,8,NaN,3,NaN,4,7,3,2,3,,8
388,Russia,2007,207,,12,NaN,,NaN,12,,2,5,3,7,6,2,12,3,2,7,6,8,6,1,6,8,NaN,NaN,7,6,NaN,6,8,NaN,6,,5,5,3,4,3,,NaN,7,NaN,3,4,5,,8,10,6
389,Turkey,2007,163,10,,NaN,10,NaN,,12,10,7,,,,10,,4,12,2,12,,1,3,,,NaN,NaN,,,NaN,,1,NaN,1,12,10,7,,,7,2,NaN,,NaN,,,7,10,,1,12
390,Bulgaria,2007,157,,4,NaN,6,NaN,,4,6,,6,10,7,,1,5,5,,4,12,10,,,,NaN,NaN,2,,NaN,7,3,NaN,5,,8,,,6,5,4,NaN,6,NaN,7,10,,,6,3,5
391,Belarus,2007,145,2,10,NaN,,NaN,,,4,1,,6,2,,7,,,8,,5,4,4,,12,NaN,NaN,8,7,NaN,10,10,NaN,3,,7,,7,1,1,12,NaN,2,NaN,,,,,,12,
392,Greece,2007,139,7,8,NaN,,NaN,3,8,3,12,,12,3,1,,,3,4,10,,7,5,,1,NaN,NaN,,,NaN,,6,NaN,,5,3,,,,10,,NaN,4,NaN,,2,4,4,4,,10
393,Armenia,2007,138,,,NaN,5,NaN,5,10,,8,,8,10,,,,10,12,2,6,,,,5,NaN,NaN,,,NaN,,2,NaN,,10,,,10,,,10,NaN,,NaN,,8,,,12,5,
394,Hungary,2007,128,,,NaN,2,NaN,,5,,,4,,,8,4,10,,5,7,,,8,5,,NaN,NaN,5,4,NaN,1,,NaN,,4,,8,2,2,8,,NaN,12,NaN,5,,8,3,,,2
395,Moldova,2007,109,,3,NaN,,NaN,8,,,4,,2,,,,2,,3,,10,5,,2,4,NaN,NaN,,2,NaN,,,NaN,,,1,1,6,10,12,6,NaN,1,NaN,1,6,2,,7,7,
396,Bosnia & Herzegovina,2007,106,8,1,NaN,8,NaN,,,,,10,,4,7,,,1,,3,,,,,,NaN,NaN,,,NaN,,,NaN,7,7,4,6,,,,,NaN,8,NaN,8,,6,8,10,,
397,Georgia,2007,97,,5,NaN,,NaN,6,6,1,,2,1,1,,5,7,,,,3,2,,1,6,NaN,NaN,6,12,NaN,,4,NaN,,2,,,5,,,7,NaN,,NaN,2,,,,5,8,
398,Romania,2007,84,,,NaN,3,NaN,,,,2,,5,,,,,7,,,2,8,,3,7,NaN,NaN,1,,NaN,,12,NaN,,,,,,7,,1,NaN,,NaN,,12,,,2,2,
399,North Macedonia,2007,73,3,,NaN,1,NaN,,,8,10,8,,5,,,,,1,,,,,,,NaN,NaN,,,NaN,,,NaN,10,,,,,,,,NaN,10,NaN,10,,,6,1,,
400,Slovenia,2007,66,,,NaN,,NaN,4,2,7,,7,,,,,,,,,,,,,,NaN,NaN,4,1,NaN,5,,NaN,8,,6,,4,3,,3,NaN,5,NaN,,3,,,,4,
401,Latvia,2007,54,,,NaN,,NaN,,,,,1,,,,10,,,,,,,,10,,NaN,NaN,,10,NaN,4,,NaN,,3,,3,1,,2,,NaN,,NaN,6,,,,,,4
402,Finland,2007,53,,,NaN,,NaN,1,,,,,,,4,6,,,,1,,,12,,,NaN,NaN,,5,NaN,,,NaN,,,,4,,,,,NaN,,NaN,,,12,1,,,
403,Sweden,2007,51,,,NaN,,NaN,,,,,,,,12,,8,,,,,,10,,,NaN,NaN,,,NaN,,,NaN,,,,12,,,,,NaN,,NaN,,,,,,,7
404,Germany,2007,49,6,,NaN,7,NaN,,,,,,,,5,3,1,,,,,,2,,,NaN,NaN,,,NaN,,,NaN,,6,,,,,,,NaN,,NaN,,5,1,7,,,1
405,Spain,2007,43,12,,NaN,,NaN,,3,,,,,,,,,6,,,1,,,,2,NaN,NaN,,,NaN,2,,NaN,4,,,,,8,,,NaN,,NaN,,,,5,,,
406,Lithuania,2007,28,,,NaN,,NaN,2,,,,,,,,,,,,,,,,12,,NaN,NaN,10,,NaN,,,NaN,,,,,,,,,NaN,,NaN,,,,,,,3
407,France,2007,19,4,2,NaN,,NaN,,,,,,,,,2,,,,,,,,,,NaN,NaN,,3,NaN,,,NaN,,,,,,,,,NaN,,NaN,,,,,,,
408,United Kingdom,2007,19,,,NaN,,NaN,,,,,,,,,,,,,,,,,7,,NaN,NaN,,,NaN,12,,NaN,,,,,,,,,NaN,,NaN,,,,,,,
409,Ireland,2007,5,5,,NaN,,NaN,,,,,,,,,,,,,,,,,,,NaN,NaN,,,NaN,,,NaN,,,,,,,,,NaN,,NaN,,,,,,,
410,Finland,2006,292,,,NaN,NaN,NaN,7,8,7,5,10,5,NaN,12,12,,8,NaN,10,12,NaN,12,10,7,NaN,NaN,8,10,NaN,7,6,,NaN,7,6,12,12,6,4,8,NaN,NaN,NaN,8,10,12,8,7,7,12
411,Russia,2006,248,4,12,NaN,NaN,NaN,12,3,6,10,7,8,NaN,2,10,12,2,NaN,6,8,NaN,5,5,12,NaN,NaN,12,12,NaN,5,10,,NaN,2,8,3,10,7,8,,NaN,NaN,NaN,4,7,7,,5,12,1
412,Bosnia & Herzegovina,2006,229,12,5,NaN,NaN,NaN,4,6,,7,12,2,NaN,8,,10,6,NaN,7,6,NaN,3,2,2,NaN,NaN,,4,NaN,,5,12,NaN,8,12,8,4,2,7,6,NaN,NaN,NaN,12,1,10,12,12,10,
413,Romania,2006,172,2,4,NaN,NaN,NaN,3,2,2,2,5,10,NaN,6,4,6,7,NaN,5,7,NaN,2,6,10,NaN,NaN,2,1,NaN,10,12,,NaN,,2,4,3,10,,4,NaN,NaN,NaN,5,12,6,1,3,1,6
414,Sweden,2006,170,10,6,NaN,NaN,NaN,5,5,3,,3,,NaN,10,7,7,3,NaN,,,NaN,7,7,5,NaN,NaN,7,5,NaN,6,2,5,NaN,,1,10,7,8,5,2,NaN,NaN,NaN,7,6,,2,,6,4
415,Lithuania,2006,162,,,NaN,NaN,NaN,6,4,,1,6,4,NaN,7,8,8,,NaN,1,4,NaN,10,12,3,NaN,NaN,10,,NaN,1,4,7,NaN,6,3,5,8,4,,5,NaN,NaN,NaN,3,4,3,,,5,10
416,Ukraine,2006,145,,10,NaN,NaN,NaN,10,,5,3,4,6,NaN,,5,2,,NaN,,5,NaN,6,1,6,NaN,NaN,5,7,NaN,2,8,2,NaN,1,5,,6,12,3,10,NaN,NaN,NaN,2,3,1,,8,,
417,Armenia,2006,129,,,NaN,NaN,NaN,8,12,,8,,7,NaN,,,,10,NaN,3,10,NaN,,,8,NaN,NaN,,2,NaN,,7,,NaN,10,,,5,,1,12,NaN,NaN,NaN,,8,,,10,8,
418,Greece,2006,128,8,8,NaN,NaN,NaN,2,10,1,12,,12,NaN,,,1,5,NaN,8,,NaN,,,,NaN,NaN,,3,NaN,8,1,,NaN,5,7,,,,10,,NaN,NaN,NaN,,,4,5,4,,7
419,Ireland,2006,93,,3,NaN,NaN,NaN,,,,,2,,NaN,5,6,4,1,NaN,4,,NaN,1,,,NaN,NaN,4,6,NaN,4,,10,NaN,4,,7,2,5,2,,NaN,NaN,NaN,1,,5,3,,2,8
420,Turkey,2006,91,7,,NaN,NaN,NaN,,7,10,4,,,NaN,,,,12,NaN,12,3,NaN,,,1,NaN,NaN,,,NaN,,,,NaN,12,4,,,,6,,NaN,NaN,NaN,,,,10,,,3
421,North Macedonia,2006,56,3,7,NaN,NaN,NaN,,,8,6,8,,NaN,,,,,NaN,,,NaN,,,,NaN,NaN,,,NaN,,,,NaN,,,,,,,,NaN,NaN,NaN,6,,,4,6,,
422,Croatia,2006,56,,,NaN,NaN,NaN,,,12,,,,NaN,,,,,NaN,2,,NaN,,,,NaN,NaN,,,NaN,,,4,NaN,,10,,,,,,NaN,NaN,NaN,10,,,6,2,,
423,Norway,2006,36,,1,NaN,NaN,NaN,1,,,,,,NaN,1,,5,,NaN,,2,NaN,4,,,NaN,NaN,6,,NaN,,3,1,NaN,,,,,,,7,NaN,NaN,NaN,,,2,,,3,
424,Germany,2006,36,5,,NaN,NaN,NaN,,1,,,,,NaN,3,,,,NaN,,,NaN,,3,,NaN,NaN,3,,NaN,,,,NaN,3,,1,,,,,NaN,NaN,NaN,,5,,7,,,5
425,Switzerland,2006,30,,,NaN,NaN,NaN,,,4,,,3,NaN,,,,,NaN,,,NaN,,,4,NaN,NaN,,,NaN,12,,6,NaN,,,,,1,,,NaN,NaN,NaN,,,,,,,
426,Latvia,2006,30,,,NaN,NaN,NaN,,,,,,,NaN,,3,,,NaN,,,NaN,,4,,NaN,NaN,,8,NaN,,,8,NaN,,,,,,,1,NaN,NaN,NaN,,,,,,4,2
427,Denmark,2006,26,,,NaN,NaN,NaN,,,,,,,NaN,,1,3,,NaN,,,NaN,8,,,NaN,NaN,,,NaN,,,,NaN,,,6,,,,,NaN,NaN,NaN,,,8,,,,
428,United Kingdom,2006,25,,,NaN,NaN,NaN,,,,,1,1,NaN,4,2,,,NaN,,,NaN,,8,,NaN,NaN,1,,NaN,3,,,NaN,,,2,1,,,,NaN,NaN,NaN,,,,,,,
429,Moldova,2006,22,,,NaN,NaN,NaN,,,,,,,NaN,,,,,NaN,,1,NaN,,,,NaN,NaN,,,NaN,,,,NaN,,,,,3,12,3,NaN,NaN,NaN,,2,,,1,,
430,Spain,2006,18,6,,NaN,NaN,NaN,,,,,,,NaN,,,,,NaN,,,NaN,,,,NaN,NaN,,,NaN,,,,NaN,,,,,,,,NaN,NaN,NaN,,,,,,,
431,France,2006,5,,2,NaN,NaN,NaN,,,,,,,NaN,,,,,NaN,,,NaN,,,,NaN,NaN,,,NaN,,,3,NaN,,,,,,,,NaN,NaN,NaN,,,,,,,
432,Israel,2006,4,,,NaN,NaN,NaN,,,,,,,NaN,,,,4,NaN,,,NaN,,,,NaN,NaN,,,NaN,,,,NaN,,,,,,,,NaN,NaN,NaN,,,,,,,
433,Malta,2006,1,1,,NaN,NaN,NaN,,,,,,,NaN,,,,,NaN,,,NaN,,,,NaN,NaN,,,NaN,,,,NaN,,,,,,,,NaN,NaN,NaN,,,,,,,
434,Greece,2005,230,12,NaN,NaN,4,NaN,,12,6,12,5,12,NaN,2,,3,8,NaN,12,,12,2,2,7,NaN,NaN,,1,NaN,6,4,,NaN,10,7,4,1,3,10,4,NaN,NaN,NaN,2,8,12,7,12,,12
435,Malta,2005,192,4,NaN,NaN,5,NaN,5,8,,,4,6,NaN,10,4,8,7,NaN,8,8,5,4,10,10,NaN,NaN,5,2,NaN,,,5,NaN,5,,10,,,2,12,NaN,NaN,NaN,1,7,6,3,8,10,10
436,Romania,2005,158,5,NaN,NaN,6,NaN,1,7,2,8,,8,NaN,3,,,5,NaN,,5,10,5,5,12,NaN,NaN,,,NaN,7,7,4,NaN,3,2,6,7,12,,,NaN,NaN,NaN,,12,2,,4,,
437,Israel,2005,154,3,NaN,NaN,1,NaN,8,6,,,,,NaN,5,1,5,10,NaN,5,,8,,6,,NaN,NaN,2,3,NaN,8,6,12,NaN,7,,5,,5,7,8,NaN,NaN,NaN,,6,1,1,3,7,7
438,Latvia,2005,153,,NaN,NaN,,NaN,6,5,,,7,1,NaN,6,10,4,,NaN,7,1,1,3,12,6,NaN,NaN,,12,NaN,10,12,,NaN,,,8,4,6,,5,NaN,NaN,NaN,7,,3,,,1,6
439,Moldova,2005,148,,NaN,NaN,2,NaN,7,1,4,6,1,2,NaN,,6,,2,NaN,1,7,4,8,,4,NaN,NaN,8,10,NaN,2,,,NaN,,5,,3,10,12,10,NaN,NaN,NaN,3,4,,,7,12,2
440,Serbia & Montenegro,2005,137,6,NaN,NaN,12,NaN,3,,10,4,12,10,NaN,,,,6,NaN,3,6,2,,,,NaN,NaN,1,,NaN,,1,6,NaN,4,10,,,,6,6,NaN,NaN,NaN,10,,4,12,,3,
441,Switzerland,2005,128,,NaN,NaN,,NaN,10,,,,3,4,NaN,1,12,10,,NaN,4,3,3,7,3,2,NaN,NaN,12,8,NaN,1,,8,NaN,,,3,6,4,,7,NaN,NaN,NaN,6,,5,,,5,
442,Norway,2005,125,,NaN,NaN,,NaN,4,3,3,1,,3,NaN,12,8,12,,NaN,,4,,12,4,1,NaN,NaN,6,5,NaN,5,3,,NaN,1,,,8,,,,NaN,NaN,NaN,4,3,8,,,6,5
443,Denmark,2005,125,,NaN,NaN,,NaN,,4,,,,,NaN,,5,2,,NaN,6,,6,10,7,3,NaN,NaN,4,4,NaN,3,,10,NaN,8,,12,5,1,4,,NaN,NaN,NaN,,10,10,,,,8
444,Croatia,2005,115,2,NaN,NaN,8,NaN,,,12,2,,,NaN,,2,1,,NaN,2,,7,1,,,NaN,NaN,7,6,NaN,,,7,NaN,2,8,2,2,,5,1,NaN,NaN,NaN,12,,,8,,8,
445,Hungary,2005,97,,NaN,NaN,,NaN,2,2,1,5,6,7,NaN,,3,,3,NaN,,2,,6,,8,NaN,NaN,3,,NaN,,,,NaN,,1,,10,2,8,3,NaN,NaN,NaN,,5,,,6,2,
446,Turkey,2005,92,8,NaN,NaN,7,NaN,,10,8,3,,,NaN,8,,,12,NaN,10,,,,,,NaN,NaN,,,NaN,,,,NaN,12,4,,,,3,,NaN,NaN,NaN,,,,6,,,1
447,Bosnia & Herzegovina,2005,79,,NaN,NaN,10,NaN,,,,,10,,NaN,4,,,,NaN,,,,,1,,NaN,NaN,,,NaN,,,,NaN,6,3,7,,,,,NaN,NaN,NaN,8,,7,5,10,,4
448,Russia,2005,57,,NaN,NaN,,NaN,12,,,,,,NaN,,7,7,,NaN,,,,,,,NaN,NaN,10,7,NaN,,10,,NaN,,,,,,,,NaN,NaN,NaN,,,,,,4,
449,Albania,2005,53,,NaN,NaN,3,NaN,,,5,,2,,NaN,,,,1,NaN,,10,,,,,NaN,NaN,,,NaN,,,,NaN,,12,,,,,,NaN,NaN,NaN,,,,10,2,,
450,North Macedonia,2005,52,10,NaN,NaN,,NaN,,,7,7,8,,NaN,,,,,NaN,,,,,,,NaN,NaN,,,NaN,,,1,NaN,,,,,,,,NaN,NaN,NaN,5,,,2,5,,
451,Cyprus,2005,46,7,NaN,NaN,,NaN,,,,10,,,NaN,,,,,NaN,,12,,,,,NaN,NaN,,,NaN,12,,,NaN,,,,,,1,,NaN,NaN,NaN,,,,,,,3
452,Sweden,2005,30,,NaN,NaN,,NaN,,,,,,,NaN,7,,6,,NaN,,,,,,,NaN,NaN,,,NaN,,5,3,NaN,,6,1,,,,,NaN,NaN,NaN,,2,,,,,
453,Ukraine,2005,30,,NaN,NaN,,NaN,,,,,,,NaN,,,,,NaN,,,,,,,NaN,NaN,,,NaN,,8,,NaN,,,,12,7,,2,NaN,NaN,NaN,,1,,,,,
454,Spain,2005,28,,NaN,NaN,,NaN,,,,,,,NaN,,,,4,NaN,,,,,,,NaN,NaN,,,NaN,,,,NaN,,,,,8,,,NaN,NaN,NaN,,,,4,,,
455,United Kingdom,2005,18,,NaN,NaN,,NaN,,,,,,5,NaN,,,,,NaN,,,,,8,,NaN,NaN,,,NaN,4,,,NaN,,,,,,,,NaN,NaN,NaN,,,,,1,,
456,France,2005,11,1,NaN,NaN,,NaN,,,,,,,NaN,,,,,NaN,,,,,,5,NaN,NaN,,,NaN,,,,NaN,,,,,,,,NaN,NaN,NaN,,,,,,,
457,Germany,2005,4,,NaN,NaN,,NaN,,,,,,,NaN,,,,,NaN,,,,,,,NaN,NaN,,,NaN,,2,2,NaN,,,,,,,,NaN,NaN,NaN,,,,,,,
458,Ukraine,2004,280,5,NaN,NaN,4,NaN,10,5,6,NaN,8,8,NaN,5,12,8,2,NaN,6,7,NaN,12,7,12,NaN,NaN,12,12,NaN,8,NaN,6,NaN,7,8,7,12,10,6,12,NaN,NaN,NaN,8,8,10,,12,,5
459,Serbia & Montenegro,2004,263,7,NaN,NaN,12,NaN,7,3,12,NaN,12,10,NaN,7,1,10,10,NaN,10,8,NaN,7,3,7,NaN,NaN,5,2,NaN,6,NaN,1,NaN,10,10,6,5,7,8,10,NaN,NaN,NaN,12,6,12,12,8,12,3
460,Greece,2004,252,12,NaN,NaN,2,NaN,6,8,5,NaN,7,12,NaN,3,5,6,6,NaN,7,,NaN,6,5,10,NaN,NaN,7,10,NaN,12,NaN,10,NaN,6,7,2,7,6,12,7,NaN,NaN,NaN,6,7,4,4,10,8,12
461,Turkey,2004,195,8,NaN,NaN,8,NaN,3,12,7,NaN,3,4,NaN,10,,5,12,NaN,12,6,NaN,5,1,2,NaN,NaN,2,3,NaN,,NaN,8,NaN,12,6,8,8,,10,8,NaN,NaN,NaN,,2,5,8,,6,6
462,Cyprus,2004,170,,NaN,NaN,6,NaN,8,4,,NaN,4,,NaN,6,7,7,5,NaN,8,12,NaN,10,10,3,NaN,NaN,4,5,NaN,7,NaN,2,NaN,8,,4,4,3,3,6,NaN,NaN,NaN,1,3,6,2,1,4,10
463,Sweden,2004,170,4,NaN,NaN,1,NaN,4,2,2,NaN,,5,NaN,12,10,12,3,NaN,3,,NaN,8,12,5,NaN,NaN,8,6,NaN,5,NaN,,NaN,,2,12,10,5,7,3,NaN,NaN,NaN,2,5,,,3,2,8
464,Albania,2004,106,,NaN,NaN,5,NaN,,1,4,NaN,6,,NaN,4,,3,1,NaN,5,10,NaN,4,2,,NaN,NaN,1,,NaN,10,NaN,,NaN,1,12,3,,,1,,NaN,NaN,NaN,4,,7,7,6,,1
465,Germany,2004,93,2,NaN,NaN,10,NaN,,,3,NaN,1,,NaN,,2,,7,NaN,,,NaN,,4,,NaN,NaN,,1,NaN,,NaN,7,NaN,3,,1,6,8,4,,NaN,NaN,NaN,3,12,,10,5,,4
466,Bosnia & Herzegovina,2004,91,10,NaN,NaN,7,NaN,,,,NaN,10,,NaN,8,,,,NaN,,,NaN,,,,NaN,NaN,,,NaN,,NaN,4,NaN,2,4,10,,,,,NaN,NaN,NaN,10,,8,5,7,,
467,Spain,2004,87,,NaN,NaN,,NaN,2,7,,NaN,,7,NaN,,,,8,NaN,2,3,NaN,1,,8,NaN,NaN,,,NaN,3,NaN,3,NaN,4,1,,1,12,5,,NaN,NaN,NaN,,,,6,2,,
468,Russia,2004,67,,NaN,NaN,,NaN,12,,,NaN,,6,NaN,,8,4,,NaN,,2,NaN,,,6,NaN,NaN,10,8,NaN,,NaN,,NaN,,,,,,,,NaN,NaN,NaN,,,,,,10,
469,Malta,2004,50,3,NaN,NaN,,NaN,,,1,NaN,2,,NaN,1,6,,,NaN,,1,NaN,,6,4,NaN,NaN,6,4,NaN,,NaN,,NaN,,3,,3,1,,,NaN,NaN,NaN,,,,,,1,2
470,Croatia,2004,50,,NaN,NaN,3,NaN,5,,10,NaN,,,NaN,,,1,,NaN,1,,NaN,,,,NaN,NaN,,,NaN,,NaN,,NaN,,5,,,,,5,NaN,NaN,NaN,5,,,3,,7,
471,North Macedonia,2004,47,6,NaN,NaN,,NaN,,,8,NaN,5,,NaN,,,,,NaN,,,NaN,,,,NaN,NaN,,,NaN,1,NaN,,NaN,,,,,,,,NaN,NaN,NaN,7,,,1,4,3,
472,France,2004,40,1,NaN,NaN,,NaN,,10,,NaN,,,NaN,,,,,NaN,,,NaN,,,,NaN,NaN,,,NaN,,NaN,12,NaN,,,,,2,,4,NaN,NaN,NaN,,4,,,,,
473,United Kingdom,2004,29,,NaN,NaN,,NaN,1,,,NaN,,,NaN,,4,,,NaN,,,NaN,2,8,,NaN,NaN,3,,NaN,4,NaN,,NaN,,,,2,,2,1,NaN,NaN,NaN,,,2,,,,
474,Poland,2004,27,,NaN,NaN,,NaN,,,,NaN,,2,NaN,,,,,NaN,4,4,NaN,3,,,NaN,NaN,,7,NaN,,NaN,,NaN,,,,,,,,NaN,NaN,NaN,,1,1,,,5,
475,Romania,2004,18,,NaN,NaN,,NaN,,,,NaN,,3,NaN,,,,,NaN,,,NaN,,,1,NaN,NaN,,,NaN,,NaN,,NaN,,,,,4,,,NaN,NaN,NaN,,10,,,,,
476,Iceland,2004,16,,NaN,NaN,,NaN,,,,NaN,,,NaN,2,,2,,NaN,,,NaN,,,,NaN,NaN,,,NaN,,NaN,5,NaN,,,5,,,,2,NaN,NaN,NaN,,,,,,,
477,Netherlands,2004,11,,NaN,NaN,,NaN,,6,,NaN,,,NaN,,3,,,NaN,,,NaN,,,,NaN,NaN,,,NaN,2,NaN,,NaN,,,,,,,,NaN,NaN,NaN,,,,,,,
478,Austria,2004,9,,NaN,NaN,,NaN,,,,NaN,,,NaN,,,,4,NaN,,5,NaN,,,,NaN,NaN,,,NaN,,NaN,,NaN,,,,,,,,NaN,NaN,NaN,,,,,,,
479,Belgium,2004,7,,NaN,NaN,,NaN,,,,NaN,,1,NaN,,,,,NaN,,,NaN,,,,NaN,NaN,,,NaN,,NaN,,NaN,5,,,,,,,NaN,NaN,NaN,,,,,,,
480,Ireland,2004,7,,NaN,NaN,,NaN,,,,NaN,,,NaN,,,,,NaN,,,NaN,,,,NaN,NaN,,,NaN,,NaN,,NaN,,,,,,,,NaN,NaN,NaN,,,,,,,7
481,Norway,2004,3,,NaN,NaN,,NaN,,,,NaN,,,NaN,,,,,NaN,,,NaN,,,,NaN,NaN,,,NaN,,NaN,,NaN,,,,,,,,NaN,NaN,NaN,,,3,,,,
482,Turkey,2003,167,NaN,NaN,NaN,12,NaN,NaN,12,12,NaN,10,8,NaN,NaN,,NaN,10,NaN,10,7,NaN,3,,7,NaN,NaN,,NaN,NaN,4,NaN,NaN,NaN,12,NaN,10,2,8,10,,NaN,NaN,NaN,10,3,8,NaN,,2,7
483,Belgium,2003,165,NaN,NaN,NaN,4,NaN,NaN,,10,NaN,,3,NaN,NaN,8,NaN,12,NaN,6,8,NaN,7,10,8,NaN,NaN,10,NaN,NaN,,NaN,NaN,NaN,10,NaN,3,12,6,8,3,NaN,NaN,NaN,3,12,,NaN,7,10,5
484,Russia,2003,164,NaN,NaN,NaN,8,NaN,NaN,7,3,NaN,12,10,NaN,NaN,12,NaN,7,NaN,8,10,NaN,4,,10,NaN,NaN,12,NaN,NaN,1,NaN,NaN,NaN,1,NaN,2,4,4,7,,NaN,NaN,NaN,12,6,2,NaN,10,12,
485,Norway,2003,123,NaN,NaN,NaN,2,NaN,NaN,6,,NaN,,,NaN,NaN,10,NaN,3,NaN,7,,NaN,12,12,3,NaN,NaN,7,NaN,NaN,6,NaN,NaN,NaN,7,NaN,,6,5,3,4,NaN,NaN,NaN,5,,12,NaN,,7,6
486,Sweden,2003,107,NaN,NaN,NaN,3,NaN,NaN,4,1,NaN,2,1,NaN,NaN,7,NaN,2,NaN,3,,NaN,5,,5,NaN,NaN,6,NaN,NaN,8,NaN,NaN,NaN,3,NaN,7,7,3,12,,NaN,NaN,NaN,6,7,,NaN,,5,10
487,Austria,2003,101,NaN,NaN,NaN,,NaN,NaN,2,5,NaN,5,4,NaN,NaN,6,NaN,,NaN,2,2,NaN,10,,,NaN,NaN,4,NaN,NaN,,NaN,NaN,NaN,8,NaN,8,,10,,,NaN,NaN,NaN,7,8,6,NaN,6,,8
488,Poland,2003,90,NaN,NaN,NaN,10,NaN,NaN,5,,NaN,,,NaN,NaN,4,NaN,5,NaN,12,6,NaN,,,,NaN,NaN,8,NaN,NaN,10,NaN,NaN,NaN,4,NaN,4,,,4,,NaN,NaN,NaN,,5,3,NaN,,8,2
489,Iceland,2003,81,NaN,NaN,NaN,,NaN,NaN,3,,NaN,6,5,NaN,NaN,1,NaN,1,NaN,1,,NaN,,7,,NaN,NaN,3,NaN,NaN,12,NaN,NaN,NaN,6,NaN,12,1,,,,NaN,NaN,NaN,4,,7,NaN,8,4,
490,Spain,2003,81,NaN,NaN,NaN,,NaN,NaN,10,,NaN,7,6,NaN,NaN,,NaN,,NaN,,5,NaN,6,,12,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,5,NaN,,,12,5,6,NaN,NaN,NaN,1,,4,NaN,2,,
491,Romania,2003,73,NaN,NaN,NaN,6,NaN,NaN,,7,NaN,1,2,NaN,NaN,,NaN,4,NaN,4,4,NaN,,,6,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,1,8,,,12,NaN,NaN,NaN,,10,1,NaN,1,6,
492,Ireland,2003,53,NaN,NaN,NaN,,NaN,NaN,1,,NaN,4,7,NaN,NaN,,NaN,,NaN,,,NaN,2,,,NaN,NaN,1,NaN,NaN,5,NaN,NaN,NaN,,NaN,6,,7,,,NaN,NaN,NaN,2,,,NaN,5,1,12
493,Germany,2003,53,NaN,NaN,NaN,1,NaN,NaN,,,NaN,,,NaN,NaN,2,NaN,,NaN,,,NaN,8,4,,NaN,NaN,2,NaN,NaN,3,NaN,NaN,NaN,2,NaN,,5,,1,7,NaN,NaN,NaN,,4,10,NaN,,,4
494,Netherlands,2003,45,NaN,NaN,NaN,,NaN,NaN,8,2,NaN,,,NaN,NaN,,NaN,,NaN,,,NaN,,5,2,NaN,NaN,,NaN,NaN,7,NaN,NaN,NaN,,NaN,5,,,,10,NaN,NaN,NaN,,,5,NaN,,,1
